id,headword,normalized_headword,pos,pos_tag,etymology,definition,gloss_ru,examples,source,page,notes
5184,ʃadʰɳa,ʃadhɳa,,,Himachaliʃādɳõ < śabdayati,vt1) call,звать 2) inviteприглашать,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5185,ʃaɖʰ,ʃaɖh,NOUN,4_m-C,OIAāṣāḍhá,"Ashadh, name of month  (June-July)",ашадх (июнь-июль),,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5186,ʃaɖʰ,ʃaɖh,NOUN,7_f-igarden-bed,Suspicious IA etymology*śāṭa,,грядка kyārī,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5187,ʃah,ʃah,NOUN,4_m-C,Dardic śvāsá,breath,дыхание,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5188,ʃahi,ʃahi,,,Bad OIA wordśvāvídh,n3_f-Vporcupine,дикобраз ʃajdadvprobably возможно,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5189,ʃakʰra,ʃakhra,NOUN,1_m-a,Bad OIAśakvara- / śākvará-,young bull,молодой бык ʃaln5_f-Cshawl шаль ʃaɭnavtput out гасить ʃaɭɳavtзажигать ʃaniɳavifrost замерзать (о воде),,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5190,ʃaɳ,ʃaɳ,NOUN,4_m-C,OIAśyāna,ice,лёд1 216 of 32 7/7/2023 9:54 PM ʃaɳan 1_m-a branchветка,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5191,ʃaɽʰa,ʃaɽha,NOUN,1_m-a,"OIA, Accent issue āṣāḍhīya",apricot,абрикос,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5192,ʃaukar,ʃaukar,ADJ,,Bad OIA*sādhukara- = sādhú  + kara X ʃau cf. B. sāhu-kār,athem. rich,богатый,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5193,ʃauɳ,ʃauɳ,,,OIAśrāˊvaṇa,"n4_m-C Shravan, name of month  (July-August)",шраван (июль- август),,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5194,ʃekʈa,ʃekʈa,NOUN,1_m-a,Suspicious IA etymology śárkarā¹,piece,"кусок, долька",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5195,ʃeli,ʃeli,NOUN,3_f-Vwool,OIAśēlli,of goat,шерсть овцы,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5196,ʃer,ʃer,,,"Pers, Hin s ́er < šer",n4_m-C 1) lion,"лев 2) lion лев ʃɛgɽan1_m-a bonfire костёр ʃɛhrn 4_m-C 1) town город 2) Kulu г. Кулу ʃɛɳəkɳa visimmer (of water beginning to boil)булькать, шипеть (о закипающей воде)",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5197,ʃɛrm,ʃɛrm,,,"Pers, Hin s ̌arm",n5_f-Cshy,стыд,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5198,ʃɛrmiɳa,ʃɛrmiɳa,,,"Pers, Hin s ̌arm",vi1) be ashamed,стыдиться 2) be shy стесняться,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5199,ʃɛʈɳa,ʃɛʈɳa,,,Bad OIA wordsr̥ṣṭá,vtthrow,кидать ʃəɳjaɳa vttellрассказывать,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5200,ʃikʃa,ʃikʃa,NOUN,6_f-aeducation,Skrśikṣā,,образование,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5201,ʃikʰa,ʃikha,NOUN,6_f-ameat,Persshikār ‘добыча’ X sīḵẖak ‘кусочек жареного мяса’,,мясо,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5202,ʃilɖ,ʃilɖ,,,Eng shield,n5_f-Cshield,щит,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5203,ʃing,ʃing,,,OIAśŕ̊ṅga,n4_m-C horn,рог,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5204,ʃiɽʰ,ʃiɽh,,,OIA*śrīḍhi,n7_f-iladder,"лестница, стремянка",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5205,ʃiʃa,ʃiʃa,,,"Pers, Hin s ́īśā < šīša",n1_m-a 1) glass,стекло 2) mirror зеркало,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5206,ʃjaɭ,ʃjaɭ,NOUN,7_f-ifox,OIAśr̥gālá,(female),лисица,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5207,ʃjaɭ,ʃjaɭ,NOUN,4_m-C,OIAśr̥gālá,fox (male),лис,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5208,ʃjari,ʃjari,,,Bad OIAśā́ri,n3_f-V,"что за птица? майна - этимологическое предположение mynaиндийский скворец, майна",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5209,ʃjuɭi,ʃjuɭi,NOUN,3_f-Vwhistling,Suspicious IA etymology*śuṣati,,свист ʃjuɭi marni vtwhistlecвистнуть,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5210,ʃɭɔŋg,ʃɭɔŋg,,,OIA*śalaṅka,n7_f-iscolopendra,сколопендра1 1 217 of 32 7/7/2023 9:54 PM,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5211,ʃnitʃər,ʃnitʃər,NOUN,4_m-C,Bad OIA word *śanaiścara,Saturday,суббота,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5212,ʃobʰla,ʃobhla,ADJ,,Bad OIAśubhrá / *śōbhyatē,them. good,хороший,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5213,ʃohri,ʃohri,,,"Bad OIA, Bad OIA word, Dardic *śuḍa X  *chōkhara X *chōṭa",n3_f-V1) girl,девочка 2) girl девушка 3) child ребёнок,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5214,ʃohru,ʃohru,NOUN,2_m-V,"Bad OIA, Bad OIA word, Dardic*śuḍa X  *chōkhara X *chōṭa",1) boy,"мальчик 2) young man юноша 3) child ребенок ʃoiɳaviуплывать, затопляться",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5215,ʃokʰ,ʃokh,NOUN,5_f-Cthirstжажда,OIA*śauṣkya,,,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5216,ʃor,ʃor,NOUN,4_m-C,Pers shor,noise,шум,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5217,ʃoʈʰa,ʃoʈha,,,OIA*śōṭṭha,n1_m-a stick,палка,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5218,ʃoʈʰi,ʃoʈhi,,,OIA*śōṭṭha,n3_f-Vstick (small),палочка,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5219,ʃoudʒ,ʃoudʒ,,,"Skr, Bad OIA word, Accent issueaśvayuja, *āśvayujya","n4_m-C Ashvin, name of",,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5220,month,month,,,September-October,,ашвин (сентябрь-октябрь),,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5221,ʃɔgɳa,ʃɔgɳa,,,Bad OIAsárga,vtirrigate,орошать,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5222,ʃɔhra,ʃɔhra,NOUN,1_m-a,OIAśváśura,father-in-law,свёкр ʃɔrn 4_m-C сток,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5223,ʃɔru,ʃɔru,,,OIAśáru,n2_m-Vsg hail,град,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5224,ʃɔɽna,ʃɔɽna,,,śáṭati,virot,гнить,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
