id,headword,normalized_headword,pronunciation,pos,pos_tag,morph,etymology,gloss_en,gloss_ru,definition,senses,examples,source,page,confidence,notes
150,Badháwṇu,Badhawnu,,V.T.,v.t. re.,,,"(1) To extinguish, to put out; (2) To enlarge",,"(1) To extinguish, to put out; (2) To enlarge",,"f. -í, pl. -é",mainDictionary_repaired.csv,12,original,
151,Badhú,Badhu,,NOUN,n.m.,,,A carpenter,,A carpenter,,f. -aṇ,mainDictionary_repaired.csv,12,original,
152,Badhkú or -á,Badhku or -a,,ADJ.,adj.,,,Without limit,,Without limit,,"m.; f. -í, pl. -é",mainDictionary_repaired.csv,12,original,
153,Badhṇu,Badhnu,,V.T.,v.t. re.,,,To cut,,To cut,,"f. -í, pl. -é",mainDictionary_repaired.csv,12,original,
154,Badlí,Badli,,N.F.,n.f.,,H. bádal,Clouds,,Clouds,,Hyún ghalolá badlí 'The snow will melt with the clouds',mainDictionary_repaired.csv,12,original,
155,Badlíṇá,Badlina,,ADJ.,adj.,,,Cloudy,,Cloudy,,m.,mainDictionary_repaired.csv,12,original,
156,"Badrá, -u","Badra, -u",,ADJ.,adj.,,,Larger,,Larger,,"m.; f. -í, pl. -é",mainDictionary_repaired.csv,12,original,
157,Badrú or -á,Badru or -a,,ADJ.,adj.,,,The eldest,,The eldest,,"m.; f. -í, pl. -é",mainDictionary_repaired.csv,12,original,
158,Bádú,Badu,,NOUN,n.m.,,,An enemy,,An enemy,,,mainDictionary_repaired.csv,12,original,
159,Badúk,Baduk,,N.F.,n.f.,,H. bandúk,A gun or rifle,,A gun or rifle,,,mainDictionary_repaired.csv,12,original,
160,Báfar,Bafar,,ADJ.,adj.,,,Spare,,Spare,,,mainDictionary_repaired.csv,12,original,
161,Báftá,Bafta,,NOUN,n.m.,,H. báftá,Silken cloth,,Silken cloth,,,mainDictionary_repaired.csv,12,original,
162,Bágú,Bagu,,NOUN,n.m.,,,"A dress of honour, a robe",,"A dress of honour, a robe",,,mainDictionary_repaired.csv,12,original,
163,Bagáná,Bagana,,ADJ.,adj.,,,"Another's, of another",,"Another's, of another",,"m.; f. -í, pl. -é. Fr. H. bigáná",mainDictionary_repaired.csv,12,original,
164,Bagár,Bagar,,N.F.,n.f.,,,"Forced labour, unpaid work, corvée",,"Forced labour, unpaid work, corvée",,,mainDictionary_repaired.csv,12,original,
165,Bagárú or -í,Bagaru or -i,,NOUN,n.m.,,,"A cooly, a porter",,"A cooly, a porter",,,mainDictionary_repaired.csv,12,original,
166,Bagher,Bagher,,NOUN,n.m.,,,"A boy, a child",,"A boy, a child",,pl. -o,mainDictionary_repaired.csv,12,original,
167,Bágí,Bagi,,NOUN,n.m. pl.,,,"Lawless, disloyal",,"Lawless, disloyal",,"-hoṇu, v.a. re. To be disloyal",mainDictionary_repaired.csv,12,original,
168,Bagoṭú,Bagotu,,NOUN,n.m.,,,"Clothing, a dress",,"Clothing, a dress",,,mainDictionary_repaired.csv,12,original,
169,Bagṭas,Bagtas,,N.F.,n.f.,,S. Vayu,"Air, the wind",,"Air, the wind",,,mainDictionary_repaired.csv,12,original,
170,Bagṭí,Bagti,,N.F.,n.f.,,,A small plot of land,,A small plot of land,,,mainDictionary_repaired.csv,12,original,
171,Bahár,Bahar,,ADV.,adv.,,,Out or outside,,Out or outside,,,mainDictionary_repaired.csv,12,original,
172,Bahár,Bahar,,N.F.,n.f.,,,"Enjoyment, pleasure",,"Enjoyment, pleasure",,pl. -o,mainDictionary_repaired.csv,12,original,
173,Baháthat,Bahathat,,ADJ.,adj.,,,62,,62,,"-wán, 62nd",mainDictionary_repaired.csv,12,original,
174,Baheṛá,Bahera,,NOUN,n.m.,,,Terminalia belerica,,Terminalia belerica,,,mainDictionary_repaired.csv,12,original,
175,Bahkaṇu,Bahkanu,,V.I.,v.i. re.,,,(1) To become mad; (2) To stray,,(1) To become mad; (2) To stray,,,mainDictionary_repaired.csv,12,original,
176,Bahṇu,Bahnu,,V.I.,v.i. re.,,,"To flow, to blow",,"To flow, to blow",,"f. -í, pl. -é",mainDictionary_repaired.csv,12,original,
177,Báhṇu,Bahnu,,V.T.,v.t. re.,,,To plough,,To plough,,"f. -í, pl. -é",mainDictionary_repaired.csv,12,original,
178,Bai,Bai,,N.F.,n.f.,,S. Vāyu,(1) The wind; (2) Bile; (3) 22,,(1) The wind; (2) Bile; (3) 22,,,mainDictionary_repaired.csv,12,original,
179,Baichhaṛ,Baichhar,,N.F.,n.f.,,,An unchaste woman,,An unchaste woman,,,mainDictionary_repaired.csv,12,original,
