id,headword,normalized_headword,pronunciation,pos,pos_tag,morph,etymology,gloss_en,gloss_ru,definition,senses,examples,source,page,confidence,notes,pronunciation_ipa,pronunciation_deva,pron_confidence,pron_note,pron_token_sample
460,Burí-ghálṇí,Buri-ghalni,,V.T.,v.t. re.,,,"To harass, to put to trouble, to plague",,"To harass, to put to trouble, to plague",,,mainDictionary_repaired.csv,20,original,,Burí-ghálṇí,Burí-ghálṇí,low,unmapped_chars_sample='Burí-g' count=11,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': None, 'char': 'r', 'pos': 2}, {'matched': None, 'char': 'í', 'pos': 3}, {'matched': None, 'char': '-', 'pos': 4}, {'matched': None, 'char': 'g', 'pos': 5}]"
461,Burí-hoṇí,Buri-honi,,V.I.,v.i. ir.,,,To be in trouble,,To be in trouble,,,mainDictionary_repaired.csv,20,original,,Burí-hoṇí,Burí-hओṇí,low,unmapped_chars_sample='Burí-h' count=8,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': None, 'char': 'r', 'pos': 2}, {'matched': None, 'char': 'í', 'pos': 3}, {'matched': None, 'char': '-', 'pos': 4}, {'matched': None, 'char': 'h', 'pos': 5}]"
462,Burí-lágṇí,Buri-lagni,,V.I.,v.i. re.,,,"To pine in love, to feel unpleasant",,"To pine in love, to feel unpleasant",,,mainDictionary_repaired.csv,20,original,,Burí-lágṇí,Burí-lágṇí,low,unmapped_chars_sample='Burí-l' count=10,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': None, 'char': 'r', 'pos': 2}, {'matched': None, 'char': 'í', 'pos': 3}, {'matched': None, 'char': '-', 'pos': 4}, {'matched': None, 'char': 'l', 'pos': 5}]"
463,Bwá'l,Bwa'l,,NOUN,n.m.,,S. Udgāra; H. ubál,(1) Overflowing; (2) Boiling,,(1) Overflowing; (2) Boiling,,"-jáṇu or -dewṇu, v.s. re. To overflow",mainDictionary_repaired.csv,20,original,,Bwá'l,Bwá'l,low,unmapped_chars_sample='Bwá'l' count=5,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'w', 'pos': 1}, {'matched': None, 'char': 'á', 'pos': 2}, {'matched': None, 'char': ""'"", 'pos': 3}, {'matched': None, 'char': 'l', 'pos': 4}]"
464,Bwálṇu,Bwalnu,,V.T.,v.t. re.,,H. ubálná,To boil,,To boil,,,mainDictionary_repaired.csv,20,original,,Bwálṇu,Bwálṇu,low,unmapped_chars_sample='Bwálṇu' count=6,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'w', 'pos': 1}, {'matched': None, 'char': 'á', 'pos': 2}, {'matched': None, 'char': 'l', 'pos': 3}, {'matched': None, 'char': 'ṇ', 'pos': 4}, {'matched': None, 'char': 'u', 'pos': 5}]"
465,Bwárá,Bwara,,NOUN,n.m.,,,See Buárá,,See Buárá,,pl. -é,mainDictionary_repaired.csv,20,original,,Bwárá,Bwárá,low,unmapped_chars_sample='Bwárá' count=5,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'w', 'pos': 1}, {'matched': None, 'char': 'á', 'pos': 2}, {'matched': None, 'char': 'r', 'pos': 3}, {'matched': None, 'char': 'á', 'pos': 4}]"
466,Byá,Bya,,NOUN,n.m.,,S. Viváha,Marriage,,Marriage,,"Also byáh. -áhuňdá, m., f. -í huňdí, pl. -é huňde. Married.",mainDictionary_repaired.csv,20,original,,Byá,Byá,low,unmapped_chars_sample='Byá' count=3,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'y', 'pos': 1}, {'matched': None, 'char': 'á', 'pos': 2}]"
467,Byáj,Byaj,,NOUN,n.m.,,H. byáj,Interest,,Interest,,,mainDictionary_repaired.csv,20,original,,Byáj,Byáj,low,unmapped_chars_sample='Byáj' count=4,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'y', 'pos': 1}, {'matched': None, 'char': 'á', 'pos': 2}, {'matched': None, 'char': 'j', 'pos': 3}]"
468,Byálí,Byali,,N.F.,n.f.,,,Dinner,,Dinner,,"-cháṇṇí, v.i. re. To cook the dinner. -é, adv. In the evening. Byále re pahre áyá Ludro-Shib 'Ludlow Sahib came in the evening.'",mainDictionary_repaired.csv,20,original,,Byálí,Byálí,low,unmapped_chars_sample='Byálí' count=5,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'y', 'pos': 1}, {'matched': None, 'char': 'á', 'pos': 2}, {'matched': None, 'char': 'l', 'pos': 3}, {'matched': None, 'char': 'í', 'pos': 4}]"
469,Byálke-bakté,Byalke-bakte,,ADV.,adv.,,,In the evening time,,In the evening time,,,mainDictionary_repaired.csv,20,original,,Byálke-bakteː,Byálkए-bअktए (lengthened),low,unmapped_chars_sample='Byálk-' count=9,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'y', 'pos': 1}, {'matched': None, 'char': 'á', 'pos': 2}, {'matched': None, 'char': 'l', 'pos': 3}, {'matched': None, 'char': 'k', 'pos': 4}, {'matched': 'e', 'ipa': 'e', 'deva': 'ए', 'pos': 5, 'len': 1, 'note': 'Mid-front vowel'}]"
470,Byálkú or byálkí,Byalku or byalki,,N.F.,n.f.,,,The evening,,The evening,,,mainDictionary_repaired.csv,20,original,,Byálkú or byálkí,Byálkú ओr byálkí,low,unmapped_chars_sample='Byálkú' count=15,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'y', 'pos': 1}, {'matched': None, 'char': 'á', 'pos': 2}, {'matched': None, 'char': 'l', 'pos': 3}, {'matched': None, 'char': 'k', 'pos': 4}, {'matched': None, 'char': 'ú', 'pos': 5}]"
471,Byálí,Byali,,N.F.,n.f.,,,Supper,,Supper,,,mainDictionary_repaired.csv,20,original,,Byálí,Byálí,low,unmapped_chars_sample='Byálí' count=5,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'y', 'pos': 1}, {'matched': None, 'char': 'á', 'pos': 2}, {'matched': None, 'char': 'l', 'pos': 3}, {'matched': None, 'char': 'í', 'pos': 4}]"
472,Byáltí,Byalti,,N.F.,n.f.,,,Evening,,Evening,,,mainDictionary_repaired.csv,20,original,,Byáltí,Byáltí,low,unmapped_chars_sample='Byáltí' count=6,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'y', 'pos': 1}, {'matched': None, 'char': 'á', 'pos': 2}, {'matched': None, 'char': 'l', 'pos': 3}, {'matched': None, 'char': 't', 'pos': 4}, {'matched': None, 'char': 'í', 'pos': 5}]"
473,Byáňhdá,Byanhda,,NOUN,n.m.,,,A tax levied at a chief's wedding and on his children's marriages,,A tax levied at a chief's wedding and on his children's marriages,,Also Byáoḷ or Byáoḷi,mainDictionary_repaired.csv,20,original,,Byáňhdá,Byáňhdá,low,unmapped_chars_sample='Byáňhd' count=7,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'y', 'pos': 1}, {'matched': None, 'char': 'á', 'pos': 2}, {'matched': None, 'char': 'ň', 'pos': 3}, {'matched': None, 'char': 'h', 'pos': 4}, {'matched': None, 'char': 'd', 'pos': 5}]"
474,Byáoḷ or byáoḷi,Byaol or byaoli,,N.F.,n.f.,,,See Byáňhdá,,See Byáňhdá,,,mainDictionary_repaired.csv,20,original,,Byáoḷ or byáoḷi,Byáओḷ ओr byáओḷi,low,unmapped_chars_sample='Byáḷ r' count=12,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'y', 'pos': 1}, {'matched': None, 'char': 'á', 'pos': 2}, {'matched': 'o', 'ipa': 'o', 'deva': 'ओ', 'pos': 3, 'len': 1, 'note': 'Mid-back rounded vowel'}, {'matched': None, 'char': 'ḷ', 'pos': 4}, {'matched': None, 'char': ' ', 'pos': 5}]"
475,Byáshí,Byashi,,ADJ.,adj.,,,82,,82,,"-wáň, 82nd",mainDictionary_repaired.csv,20,original,,Byáshí,Byáshí,low,unmapped_chars_sample='Byáshí' count=6,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'y', 'pos': 1}, {'matched': None, 'char': 'á', 'pos': 2}, {'matched': None, 'char': 's', 'pos': 3}, {'matched': None, 'char': 'h', 'pos': 4}, {'matched': None, 'char': 'í', 'pos': 5}]"
476,Byóḷ,Byol,,NOUN,n.m.,,,"A kind of tree, the leaves of which are given to cattle as fodder",,"A kind of tree, the leaves of which are given to cattle as fodder",,,mainDictionary_repaired.csv,20,original,,Byoːḷ,Byओ (lengthened)ḷ,low,unmapped_chars_sample='Byḷ' count=3,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'y', 'pos': 1}, {'matched': 'ó', 'ipa': 'oː', 'deva': 'ओ (lengthened)', 'pos': 2, 'len': 1, 'note': ""Possibly lengthened 'o' or different quality""}, {'matched': None, 'char': 'ḷ', 'pos': 3}]"
477,Byórá or -u,Byora or -u,,ADJ.,adj.,,,"(1) Reversed, upset; (2) contrary, left",,"(1) Reversed, upset; (2) contrary, left",,"m.; f. -í, pl. -é. Also beorá.",mainDictionary_repaired.csv,20,original,,Byoːrá or -u,Byओ (lengthened)rá ओr -u,low,unmapped_chars_sample='Byrá r' count=9,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'y', 'pos': 1}, {'matched': 'ó', 'ipa': 'oː', 'deva': 'ओ (lengthened)', 'pos': 2, 'len': 1, 'note': ""Possibly lengthened 'o' or different quality""}, {'matched': None, 'char': 'r', 'pos': 3}, {'matched': None, 'char': 'á', 'pos': 4}, {'matched': None, 'char': ' ', 'pos': 5}]"
478,Byórá,Byora,,NOUN,n.m.,,,Detailed account,,Detailed account,,,mainDictionary_repaired.csv,20,original,,Byoːrá,Byओ (lengthened)rá,low,unmapped_chars_sample='Byrá' count=4,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'y', 'pos': 1}, {'matched': 'ó', 'ipa': 'oː', 'deva': 'ओ (lengthened)', 'pos': 2, 'len': 1, 'note': ""Possibly lengthened 'o' or different quality""}, {'matched': None, 'char': 'r', 'pos': 3}, {'matched': None, 'char': 'á', 'pos': 4}]"
479,Cha'b,Cha'b,,NOUN,n.m.,,,A food made of rice and sugar,,A food made of rice and sugar,,,mainDictionary_repaired.csv,20,original,,t͡ʃa'b,च/छअ'b,low,unmapped_chars_sample=''b' count=2,"[{'matched': 'ch', 'ipa': 't͡ʃ', 'deva': 'च/छ', 'pos': 0, 'len': 2, 'note': ""Palatal affricate (as in 'church')""}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 2, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': ""'"", 'pos': 3}, {'matched': None, 'char': 'b', 'pos': 4}]"
480,Chabhokṇu,Chabhoknu,,V.T.,v.t. re.,,,To dip,,To dip,,,mainDictionary_repaired.csv,20,original,,t͡ʃabhokṇu,च/छअbhओkṇu,low,unmapped_chars_sample='bhkṇu' count=5,"[{'matched': 'ch', 'ipa': 't͡ʃ', 'deva': 'च/छ', 'pos': 0, 'len': 2, 'note': ""Palatal affricate (as in 'church')""}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 2, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'b', 'pos': 3}, {'matched': None, 'char': 'h', 'pos': 4}, {'matched': 'o', 'ipa': 'o', 'deva': 'ओ', 'pos': 5, 'len': 1, 'note': 'Mid-back rounded vowel'}, {'matched': None, 'char': 'k', 'pos': 6}]"
481,Chabṇu,Chabnu,,V.T.,v.t. re.,,,To chew,,To chew,,"f. -í, pl. -é",mainDictionary_repaired.csv,20,original,,t͡ʃabṇu,च/छअbṇu,low,unmapped_chars_sample='bṇu' count=3,"[{'matched': 'ch', 'ipa': 't͡ʃ', 'deva': 'च/छ', 'pos': 0, 'len': 2, 'note': ""Palatal affricate (as in 'church')""}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 2, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'b', 'pos': 3}, {'matched': None, 'char': 'ṇ', 'pos': 4}, {'matched': None, 'char': 'u', 'pos': 5}]"
482,Chabútrá,Chabutra,,NOUN,n.m.,,,"A raised bank or terrace, open or covered",,"A raised bank or terrace, open or covered",,,mainDictionary_repaired.csv,20,original,,t͡ʃabútrá,च/छअbútrá,low,unmapped_chars_sample='bútrá' count=5,"[{'matched': 'ch', 'ipa': 't͡ʃ', 'deva': 'च/छ', 'pos': 0, 'len': 2, 'note': ""Palatal affricate (as in 'church')""}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 2, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'b', 'pos': 3}, {'matched': None, 'char': 'ú', 'pos': 4}, {'matched': None, 'char': 't', 'pos': 5}, {'matched': None, 'char': 'r', 'pos': 6}]"
