id,headword,normalized_headword,pos,pos_tag,etymology,definition,gloss_ru,examples,source,page,notes
624,kʰɔɭ,khɔɭ,NOUN,5_f-C1),OIAkhalī X khalla,bark,кора 2) skin кожа kʰɔpɳa vtтюкнуть по голове тяпкой,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
625,kʰrab,khrab,ADJ,,"Pers, Arab ḵẖarāb",athem. spoilt,"испорченный kʰubɳa viбыть жёстким, неудобным о поверхности cubhna",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
626,kʰun,khun,NOUN,4_m-C,"Hin, Pers khu ̄n < xun",blood,кровь,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
627,kʰuɳɖi,khuɳɖi,NOUN,3_f-Vplace,OIA*khuṇṭa-,for tying cows,место для привязывания коров,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
628,kʰur,khur,NOUN,4_m-C,OIA khura,1) hoof,копыто 2) footstep след ноги животного,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
629,kʰuɽ,khuɽ,NOUN,4_m-C,"Suspicious IA etymologyH ﺍڙﺍ֟  ﮐﻬखुड़ाड़ा khuṛāṛā, s.m.","cowshed, shed33 of 40 7/7/2023 9:52 PM",хлев,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
630,kʰuʃk,khuʃk,ADJ,,"Pers, Skrḵẖushk < śushka",athem. dry,сухой L l ladz kɛrna vtcure lagadaauxDUR.M DUR.M lagedeauxDUR.PL DUR.PL lagidiauxDUR.F DUR.F lagɳavi nstnd1) be attachedприкрепляться 2) be applied применяться 3) seem казаться lãgʰnaviперешагивать,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
631,lãgʰɳa,laghɳa,,,Hin lā̃ghnā <  laṅgháyati,vtcross,перешагивать abūr karna laijapostINS INS,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
632,laitʃi,laitʃi,NOUN,3_f-Vcardamon,"Hin, Pers ila ̄yacī < alācī",,кардамон,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
633,lajɳ,lajɳ,,,"Eng line Паван: lajɳin kʰɛɖe hoa, lajɳi pende Димпл: lajɳa pitsʰe,",n5_f-Cline,линия,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
634,lal,lal,ADJ,,"Pers, Hin l āl < la'l",athem. red,красный laɭn 5_f-Csalivaслюна laɳavtwearносить,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
635,laɽa,laɽa,,,OIA*lāḍa,n1_m-a husband,муж,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
636,laɽi,laɽi,NOUN,3_f-Vwife,OIA*lāḍa,,жена latʃaɳn 4_m-C quality качество,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
637,laʈa,laʈa,ADJ,,compensatory lenghtening IA languagelaṭṭa,them. lame,хромой,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
638,lɐɽka,lɐɽka,,,Hin *laḍikka,n1_m-a boy,мальчик,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
639,lɐɽki,lɐɽki,,,Hin *laḍikka,n3_f-Vgirl,девочка,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
640,lɐtʃʰmi,lɐtʃhmi,NOUN,3_f-Vhappy,Skrlakṣmīˊ,woman,благополучная женщина,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
641,lega,lega,ADJ,,Bad OIA*grilla + meth,them. wet,мокрый,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
642,leməkɳa,leməkɳa,,,Bad OIA wordślēṣmán,vtlick,лизать cāṭna,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
